,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
PV870338.1,Measles virus genotype D8,,genotype: D8,MVs/Noord-Brabant.NLD/8.25[D8],Homo sapiens,Netherlands,2025-02-25,25-Feb-2025,D8,Netherlands,
PV809721.1,Measles virus genotype D8,,genotype: D8,MVs/Gelderland.NLD/23.25[D8],Homo sapiens,Netherlands,2025-06-03,03-Jun-2025,D8,Netherlands,
PV809720.1,Measles virus genotype D8,,genotype: D8,MVs/Zuid-Holland.NLD/23.25[D8],Homo sapiens,Netherlands,2025-06-03,03-Jun-2025,D8,Netherlands,
PV686489.1,Measles virus genotype D8,CA-LACPHL-FA00002,genotype: D8,MVs/California.USA/17.25[D8],Homo sapiens,USA: California,2025-04-23,2025-04-23,D8,USA,California
PV686488.1,Measles virus genotype B3,CA-LACPHL-FA00001,genotype: B3,MVs/California.USA/10.25[B3],Homo sapiens,USA: California,2025-03-08,2025-03-08,B3,USA,California
OR805841.2,Measles virus genotype D8,,genotype: D8,MVs/Mumbai.IND/05.23/233867[D8]PNEUMONIA,Homo sapiens,India,2023-01-30,30-Jan-2023,D8,India,
PP446318.1,Measles virus genotype B3,INMI_Pt2_2022,genotype: B3,MVs/Rome.ITA/46.22[B3],Homo sapiens,Italy,2022-11-16,16-Nov-2022,B3,Italy,
PP446317.1,Measles virus genotype B3,INMI_Pt1_2022,genotype: B3,MVs/Rome.ITA/43.22[B3],Homo sapiens,Italy,2022-10-29,29-Oct-2022,B3,Italy,
OR805842.2,Measles virus genotype D8,,genotype: D8,MVs/Mumbai.IND/05.23/2/233874[D8]MIBE,Homo sapiens,India,2023-01-30,30-Jan-2023,D8,India,
OR835191.2,Measles virus genotype A,,genotype: A,MVs/Villupuram.IND/38.22/[A](MIBE),Homo sapiens,India,2022-09-21,21-Sep-2022,A,India,
OR805844.2,Measles virus genotype D8,,genotype: D8,MVs/Ahmednagar.IND/48.22/233783[D8]MIBE,Homo sapiens,India,2023-01-31,31-Jan-2023,D8,India,
OR805843.2,Measles virus genotype D8,,genotype: D8,MVs/Mumbai.IND/05.23/1/233875[D8]MIBE,Homo sapiens,India,2023-01-30,30-Jan-2023,D8,India,
ON035993.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.15/01-VC[H1],Homo sapiens,China,2015-01-01,2015,H1,China,
ON035992.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/25.14/01-NVC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035991.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/23.14/03-NVC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035990.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/20.14/01-NVC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035989.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/19.14/03-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035988.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/18.14/03-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035987.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/11.14/01-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035986.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.14/06-NVC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035985.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/16.14/03-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035984.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.14/10-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035983.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/14.14/01-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035982.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.14/08-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035981.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.14/07-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035980.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.14/05-NVC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035979.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.14/03-NVC[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035978.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/13.14/01-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035977.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/12.14/04-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035976.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/9.14/01-NVP[H1],Homo sapiens,China,2014-01-01,2014,H1,China,
ON035975.1,Measles virus genotype B3,,L protein,MVi/Shanghai.CHN/7.14/01-NVP[B3],Homo sapiens,China,2014-01-01,2014,B3,China,
ON035974.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/34.13/04-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035973.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/32.13/06-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035972.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/32.13/02-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035971.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/27.13/02-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035970.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/21.13/11-NVC[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
ON035969.1,Measles virus genotype H1,,L protein,MVi/Shanghai.CHN/22.13/01-NVP[H1],Homo sapiens,China,2013-01-01,2013,H1,China,
