	summarized	lineages	abundances	resid	coverage
GCA_031128165.1_0.7_GCA_031128115.1_0.3_variants.tsv	[('Other', 1.0000000000131932)]	MEASLESgenome-D3 MEASLESgenome-D4	0.70344800 0.29655200	70.0836955871138	97.38266012331698
GCA_031112925.1_0.8_GCA_031128135.1_0.2_variants.tsv	[('Other', 1.0000000000839062)]	MEASLESgenome-A MEASLESgenome-D5 MEASLESgenome-D6	0.79365100 0.19512200 0.01122700	31.276188422693462	94.37523593808984
GCA_031128155.1_0.2_GCA_031129565.1_0.8_variants.tsv	[('Other', 1.0000000000174991)]	MEASLESgenome-D9 MEASLESgenome-B3	0.81927700 0.18072300	100.18823211021551	89.62501572920598
GCA_031129565.1_0.4_GCA_031128185.1_0.6_variants.tsv	[('Other', 0.9999999999766807)]	MEASLESgenome-H1 MEASLESgenome-D9	0.57142900 0.42857100	196.0278165511906	89.31672329180823
GCA_031128155.1_0.9_GCA_031128135.1_0.1_variants.tsv	[('Other', 0.9999999997258886)]	MEASLESgenome-B3 MEASLESgenome-D5	0.90476200 0.09523800	82.14133297120756	85.95067321001636
GCA_031128135.1_0.1_GCA_031128185.1_0.9_variants.tsv	[('Other', 0.9999999991029083)]	MEASLESgenome-H1 MEASLESgenome-D5	0.89690700 0.10309300	127.16815401273065	83.13199949666541
GCA_031128155.1_0.6_GCA_031128145.1_0.4_variants.tsv	[('Other', 0.9999999990186371)]	MEASLESgenome-B3 MEASLESgenome-D8 MEASLESgenome-D6	0.58260900 0.40000000 0.01739100	96.20786593192216	88.49880458034478
GCA_031128115.1_0.3_GCA_031128185.1_0.7_variants.tsv	[('Other', 0.9999999997950738)]	MEASLESgenome-H1 MEASLESgenome-D4	0.64705900 0.35294100	186.55438538023094	94.09211023027558
GCA_031129565.1_0.9_GCA_031128185.1_0.1_variants.tsv	[('Other', 0.9999999991323942)]	MEASLESgenome-D9 MEASLESgenome-H1	0.94736800 0.05263200	87.67302040454115	87.39776016106707
GCA_031128155.1_0.4_GCA_031128135.1_0.6_variants.tsv	[('Other', 0.9999999988789536)]	MEASLESgenome-D5 MEASLESgenome-B3 MEASLESgenome-D6	0.62025300 0.37209300 0.00765400	89.23507612865825	93.40002516672958
GCA_031128155.1_0.4_GCA_031129565.1_0.6_variants.tsv	[('Other', 0.9999999998715912)]	MEASLESgenome-D9 MEASLESgenome-B3	0.61702100 0.38297900	126.1034777647795	89.75714105951931
GCA_031128145.1_0.8_GCA_031128185.1_0.2_variants.tsv	[('Other', 1.0000000000052447)]	MEASLESgenome-D8 MEASLESgenome-H1	0.83606600 0.16393400	89.81048120906117	87.27821819554549
GCA_031112925.1_0.1_GCA_031128145.1_0.9_variants.tsv	[('Other', 1.0000000004661838)]	MEASLESgenome-D8 MEASLESgenome-A	0.90909090 0.09090910	45.68668275580512	90.27305901598088
